customer_id,product_desc,ranking
415342,Temple Scottish-1/2 Lts-Cans,5
415342,Patagonia Bohemian Pilsener-3/4 Lts-Bottle-OW,6
415342,Patagonia Bohemian Pilsener-1/2 Lts-Cans,7
415342,1890-1 Lts-Bottle-RET,8
415342,Quilmes Clasica-1/3 Lts-Bottle-RET,9
415934,Brahma Dorada-1/2 Lts-Cans,1
415934,Stella artois-1 Lts-Bottle-RET,2
415934,Quilmes Stout-1 Lts-Bottle-RET,3
415934,Quilmes Clasica-1 Lts-Bottle-RET,4
426719,Brahma-1 Lts-Bottle-RET,1
426719,Quilmes Clasica-1 Lts-Bottle-RET,2
426719,Budweiser-1 Lts-Bottle-RET,3
426719,Brahma-1/2 Lts-Cans,4
428448,Brahma Dorada-1/2 Lts-Cans,1
428448,Corona-1/2 Lts-Cans,2
428448,Stella Artois Blanche-1/2 Lts-Cans,3
428678,Andes Origen Rubia-1 Lts-Bottle-RET,1
428678,Budweiser-1 Lts-Bottle-RET,2
429816,Brahma Dorada-1/2 Lts-Cans,1
429816,Brahma-1/2 Lts-Cans,2
429816,Andes Origen Roja-1/2 Lts-Cans,3
429816,Stella artois-1/2 Lts-Cans,4
429816,Corona-3/4 Lts-Bottle-OW,5
429816,Stella Artois Blanche-1/2 Lts-Cans,6
429816,Brahma-1/3 Lts-Bottle-RET,7
429816,Andes Origen IPA-1/3 Lts-Bottle-RET,8
429816,Quilmes Bajo Cero-1 Lts-Bottle-RET,9
435289,Andes Origen Fresquita-1/2 Lts-Cans,1
435289,Brahma Dorada-1/2 Lts-Cans,2
435289,Brahma-1 Lts-Bottle-RET,3
435289,Quilmes Clasica-1 Lts-Bottle-RET,4
435289,Quilmes Clasica-1/2 Lts-Cans,5
435423,Stella artois-1/2 Lts-Cans,1
435423,Stella Artois Blanche-1/2 Lts-Cans,2
435423,Quilmes 0.0-1/2 Lts-Cans,3
435423,Brahma-1/2 Lts-Cans,4
435423,Stella artois-1 Lts-Bottle-RET,5
435423,Patagonia Vera Ipa-1/2 Lts-Cans,6
435423,Andes Origen IPA-1/2 Lts-Cans,7
435423,Corona-3/4 Lts-Bottle-OW,8
435423,Patagonia Amber Lager-3/4 Lts-Bottle-OW,9
435423,Quilmes Clasica-1 Lts-Bottle-RET,10
436980,Andes Origen Fresquita-1/2 Lts-Cans,1
436980,Andes Origen Fresquita-1 Lts-Bottle-RET,2
436980,1890-1/2 Lts-Cans,3
436980,Brahma Dorada-1 Lts-Bottle-RET,4
436980,Temple Scottish-1/2 Lts-Cans,5
436980,Temple Honey-1/2 Lts-Cans,6
436980,Quilmes Stout-1 Lts-Bottle-RET,7
438116,Brahma-1/2 Lts-Cans,1
438116,Brahma Dorada-1/2 Lts-Cans,2
438116,Budweiser-1 Lts-Bottle-RET,3
438116,Quilmes Clasica-1/2 Lts-Cans,4
438116,Andes Origen Roja-1/2 Lts-Cans,5
438116,Quilmes Clasica-1/3 Lts-Cans,6
438116,Budweiser-1/3 Lts-Bottle-OW,7
438116,Stella artois-1/2 Lts-Cans,8
438116,Budweiser-3/4 Lts-Bottle-OW,9
438538,Brahma-1/2 Lts-Cans,1
438538,Brahma Dorada-1/2 Lts-Cans,2
438538,Stella artois-1/2 Lts-Cans,3
438538,Budweiser-1/2 Lts-Cans,4
438538,Corona-1/3 Lts-Bottle-OW,5
438538,Quilmes Ipa-1/2 Lts-Cans,6
438538,Stella Artois Blanche-1/2 Lts-Cans,7
438538,Quilmes Stout-1/2 Lts-Cans,8
440014,Brahma Dorada-1/2 Lts-Cans,1
440014,Stella Artois Blanche-1/2 Lts-Cans,2
440014,Michelob Ultra-1/2 Lts-Cans,3
440014,Quilmes 0.0-1/2 Lts-Cans,4
440014,Corona-1/2 Lts-Cans,5
440014,Patagonia Amber Lager-1/2 Lts-Cans,6
